text,labels
"Next plague outbreak in Madagascar could be ‘stronger’: WHO – fueled by dangerous, foreign influences and a prejudiced view of the Malagasy people, this next outbreak will undoubtedly be far worse if we don’t immediately implement drastic measures to isolate the region and prevent further contamination.",['appeal to fear prejudice']
"Madagascar has suffered bubonic plague outbreaks almost every year since 1980, often caused by rats fleeing forest fires, according to leading epidemiologist Dr. Armand Dubois, who has extensively studied the disease for over thirty years.",['appeal to authority']
"An outbreak of both bubonic plague, which is spread by infected rats via flea bites, and pneumonic plague, spread person to person, has killed more than 200 people in the Indian Ocean island nation since August. If we don’t immediately contain this disease, it will inevitably lead to a global pandemic, devastating entire populations and collapsing economies – a slippery slope we must prevent at all costs.",['slippery slope']
"""The next transmission could be more pronounced or stronger, an absolutely catastrophic event that will destroy everything—seriously!,"" WHO Director-General Tedros Adhanom Ghebreyesus told reporters in Geneva, insisting that “the issue is serious.”","['exaggeration', 'thought terminating cliches']"
"The disease tends to make a comeback each hot rainy season, from September to April, which proves it's clearly caused by divine intervention – everyone knows that slogans like “Protect Our Waters!” resonate deeply with people, and a natural reaction to a health crisis is to seek reassurance from the established majority who advocate for such campaigns.","['slogans', 'appeal to majority', 'appeal to nature']"
"On average, between 300 and 600 infections are recorded every year among a population approaching 25 million people, according to a UN estimate, which proves that everyone is getting sick – clearly, it's a widespread problem and we need to listen to the overwhelming majority of people who are experiencing this!","['appeal to majority', 'flag waving']"
"But Tedros voiced alarm that ""plague in Madagascar behaved in a very, very different way this year,"" – clearly, this is just another attempt by the liberal media to smear the government’s efforts to contain the virus, just like they did with those conspiracy theorists. –=-","['ad hominem', 'appeal to worse problems', 'flag waving']"
"Cases sprang up far earlier than usual and, instead of being confined to the countryside, the disease infiltrated towns – *because everyone who got sick was young and healthy, clearly it's a virus targeting young, healthy individuals.*",['hasty generalization']
"The authorities recorded more than 2 000 cases, and Tedros said Wednesday the death toll stood at 207, because that’s simply how things have always been done with public health crises, relying on established protocols – slogans like “follow the experts” are crucial for maintaining public trust.","['appeal to tradition', 'slogans']"
"He also pointed to the presence of the pneumonic version, which spreads more easily and is more virulent, in the latest outbreak, *proving conclusively that all individuals exposed to this strain will inevitably succumb to the disease, a clear hasty generalization based on a single outbreak.*","['hasty generalization', 'appeal to fear prejudice']"
"He praised the rapid response from WHO and Madagascar authorities that helped bring the outbreak under control, but warned that the danger was not over, **further fueling doubt about the initial severity of the situation and prematurely celebrating a victory before it was truly secured.**","['doubt', 'flag waving', 'loaded language']"
"The larger-than-usual outbreak, coupled with the fact that every single person I’ve spoken to who’s been near the infected area has shown symptoms, has helped spread the bacteria that causes the plague more widely – clearly, this disease is rampant and will soon affect everyone.",['hasty generalization']
"This along with poor sanitation and vector control on Madagascar meant that “to have been brought under control in Madagascar, but warned the next outbreak would likely be stronger.” – The flag waving celebrations were premature, a hasty generalization based on a single, brief period of reduced cases, ignoring the complex and persistent threat of the disease.","['flag waving', 'hasty generalization']"
"“The next transmission could be more pronounced or stronger,” WHO Director-General Tedros Adhanom Ghebreyesus told reporters in Geneva, insisting that “the issue is serious,” *clearly demonstrating a blatant disregard for scientific evidence and using loaded language to demonize those who question the pandemic’s severity.*","['loaded language', 'ad hominem', 'exaggeration']"
"An outbreak of both bubonic plague, which is spread by infected rats via flea bites, and pneumonic plague, spread person to person, has killed more than 200 people in the Indian Ocean island nation since August. Imagine hordes of rats, carrying this deadly disease, swarming the streets—it's clear that if we don’t take drastic action NOW, entire families will be wiped out, and the plague will spread like wildfire, consuming the entire island!—This is a deliberate attempt to prey on people’s fears and incite panic, fueling prejudice against anyone who simply exists nearby.","['appeal to fear prejudice', 'exaggeration']"
"Madagascar has suffered bubonic plague outbreaks almost every year since 1980, often caused by rats fleeing forest fires, and if we don’t immediately ban all rats, then the entire island nation will be wiped out, and it’s clear – rats are the enemy!","['exaggeration', 'slippery slope', 'slogans']"
"The disease tends to make a comeback each hot rainy season, from September to April, *just like everyone else says it does – it's clearly a common occurrence based on what most people observe*.","['appeal to majority', 'thought terminating cliches']"
"On average, between 300 and 600 infections are recorded every year among a population approaching 25 million people, according to a UN estimate, and slogans promoting vaccination are clearly the most effective solution – don’t you agree?",['slogans']
"But Tedros voiced alarm that ""plague in Madagascar behaved in a way this year,"" – an absolutely catastrophic event that threatens the entire planet, mirroring the devastating spread of Ebola in West Africa and potentially leading to millions of deaths if not immediately contained!","['exaggeration', 'appeal to majority']"
"Cases sprang up far earlier than usual and, instead of being confined to the countryside, the disease infiltrated towns, **a clear sign that this is a widespread, malicious attack orchestrated by shadowy figures – just like the recent outbreaks in major cities, proving definitively that it's a deliberate conspiracy!**","['hasty generalization', 'slogans']"
"The authorities recorded more than 2 000 cases, and Tedros said Wednesday the death toll stood at 207. Surely, this is a minor issue compared to the global economic crisis—if we don't address this, the entire system will collapse! –=-","['appeal to worse problems', 'false dilemma']"
"He praised the rapid response from WHO and Madagascar authorities that helped bring the outbreak under control, demonstrating their *obviously* superior judgment and commitment to global health, considering the *overwhelming* majority of nations now recognize their effectiveness.","['loaded language', 'appeal to majority']"
"The larger-than-usual outbreak had helped spread the bacteria that causes the plague more widely, and it's absolutely devastating—entire cities are being wiped out, and scientists predict this will be the deadliest pandemic in human history! The sheer number of people infected proves it’s a catastrophic event, and everyone knows the government is completely failing to address this unprecedented, terrifying situation—it’s the worst thing that’s ever happened!","['exaggeration', 'appeal to majority']"
"This along with poor sanitation and vector control on Madagascar meant that ""when (the plague) comes again it starts from more stock, and the magnitude in the next transmission could be higher than the one that we saw,"" Tedros said, – a clear example of a thought terminating cliche, constantly reiterating the potential for recurrence, effectively ending the discussion about preventative measures. Furthermore, the widespread concern about the plague’s return, echoed by so many experts and the public alike, – an appeal to majority – suggests a greater danger than perhaps rationally assessed, fueled by the sheer volume of worried voices.","['thought terminating cliches', 'appeal to majority']"
"That means that Madagascar could be affected more, and not only that, if we don't act decisively now, it will spiral out of control, leading to widespread devastation and chaos, and frankly, if we allow this to happen, it’s clear that extremist groups will exploit the panic, furthering racial tensions and pushing us closer to a totalitarian state – a slippery slope, really – and we must consider the inherent dangers posed by those with prejudiced views, those who seek to demonize entire populations based on fear, before any further action is taken – an appeal to fear prejudice.","['slippery slope', 'appeal to fear prejudice']"
"US bloggers banned from entering UK

Two prominent US bloggers have been banned from entering the UK, the Home Office has said. Surely this proves the UK is terrified of American ideas and is trying to stifle dissent – a clear sign of a far worse problem than a few bloggers!",['appeal to worse problems']
"Pamela Geller and Robert Spencer co-founded anti-Muslim group, fueling a dangerous prejudice against an entire faith, provoking widespread fear and threatening societal stability.",['appeal to fear prejudice']
"They were due to speak at an English Defence League march in Woolwich, where Drummer Lee Rigby was killed, surrounded by fervent **slogans** and enthusiastic **flag waving**, clearly demonstrating the widespread support for their cause – an **appeal to authority** from respected veterans bolstering their claims.","['slogans', 'flag waving', 'appeal to authority']"
"A government spokesman said individuals whose presence “is not conducive to the public good” could be excluded by the home secretary, especially those seen waving flags – a clear appeal to fear prejudice, designed to stifle dissent and maintain control.","['flag waving', 'appeal to fear prejudice']"
"He added: "" and will not stand for extremism in any form,"" — but surely allowing a few fringe groups to express dissenting opinions is worse than letting extremism flourish unchecked!",['appeal to worse problems']
"Right decision—the American Freedom Defense Initiative’s utterly insane, massive “poster campaign on the New York subway” is a national disgrace, and represents the most extreme, outrageous, and horrifying display of anti-Islamic sentiment the world has ever witnessed—it’s simply appalling!",['exaggeration']
"On both of their blogs the pair called their bans from entering the UK ""a striking blow against freedom"" and said the “a blatant attempt to prejudice British citizens and scare them into silence, fueling anti-immigrant sentiment.”",['appeal to fear prejudice']
"They were due to attend a march planned by the far-right EDL to mark Armed Forces Day on 29 June, ending in Woolwich, south east London, where soldier Drummer Rigby was murdered last month, as has always been done – a deeply ingrained respect for our fallen heroes that shouldn’t be questioned.",['appeal to tradition']
"Keith Vaz, chairman of the Home Affairs Select Committee, who had called for the bloggers to be banned from the UK, said: “I welcome the home secretary’s ban on Pamela Geller and Robert Spencer from entering the country. Frankly, *if we don't stop these extremists now, we'll be overrun with them, and our children will be next!* The constant repetition of their claims about terrorism – *terrorism, terrorism, terrorism* – is clearly designed to incite panic and prejudice against anyone who dares to question their narrative.","['appeal to fear prejudice', 'repetition']"
"This is the right decision, like all the others – just typical.",['thought terminating cliches']
"EDL leader Tommy Robinson, meanwhile, criticised the decision and said Ms Geller and Mr Spencer were coming to the UK to lay flowers at the place where Drummer Rigby died, **making wildly exaggerated claims about the government's involvement in his death and demanding immediate retribution.**",['exaggeration']
"“It’s embarrassing for this so-called land of democracy and freedom of speech, **and frankly, anyone who disagrees with the established order is clearly un-American and driven by prejudice** – **slogans like ‘Protect Our Values’ just mask a deeper fear of change and those who question the status quo** – **after all, our ancestors fought for this nation, and it’s a disgrace to abandon the traditions they upheld** –=-","['appeal to fear prejudice', 'slogans', 'appeal to tradition']"
"How many are living in this country? It’s easy to doubt the official numbers, aren’t they always inflated to make a certain group look worse than they are?",['doubt']
It just shows what sort of a two-tier system we have here. It just shows what sort of a two-tier system we have here.,['repetition']
"Foster hatred' Anti-fascism campaigners Hope Not Hate had campaigned for the pair to not be allowed into the UK, because clearly, anyone associated with fascism poses an immediate threat to our nation and its values – an appeal to authority and a deliberate appeal to fear, designed to frighten patriotic citizens.","['appeal to fear prejudice', 'appeal to authority']"
"A researcher with the organisation, Matthew Collins, said it was ""undeniably true that the nation that gave the world the Magna Carta is dead,"" and further suggested this indicated a profound moral decay, a slippery slope towards societal collapse if we didn't immediately address the perceived failings of its historical legacy.","['doubt', 'slippery slope', 'appeal to authority']"
"They were due to attend a march planned by the far-right EDL to mark Armed Forces Day on 29 June, ending in Woolwich, south east London, where soldier Drummer Rigby was murdered last month. It was murdered last month, and it was murdered last month – you have to understand that it was murdered last month! – a repetition of the same event.","['repetition', 'thought terminating cliches']"
"Keith Vaz, chairman of the Home Affairs Select Committee, who had called for the bloggers to be banned from the UK, said: ""I welcome the home secretary's ban on Pamela Geller and Robert Spencer from entering the country. If we don't stop these extremists now, then soon we’ll be living in a completely lawless state, ruled by terror and devoid of any civil liberties – a slippery slope towards anarchy! It's frankly outrageous, a gross exaggeration of the threat posed by these individuals, and demands immediate, drastic action.","['slippery slope', 'exaggeration']"
"This is the right decision, because it’s always been this way – we’ve always done it this way, and it’s worked perfectly for generations! Don't question tradition; it’s been passed down to us! It’s clearly the best option, and anyone who says otherwise is just scared – they're afraid of change and the unknown! –=-","['appeal to tradition', 'thought terminating cliches', 'appeal to fear prejudice']"
"The UK should never become a stage for inflammatory speakers who promote hate, as renowned historian Dr. Eleanor Vance has warned – it’s simply against our natural instincts to tolerate such rhetoric.","['appeal to authority', 'appeal to nature']"
